available_ingredients,recipe_name,recipe_ingredients,instructions,
"Red Lentils, Bamboo Shoots, Garlic, Ginger, Mustard Oil, Salt",Rohmbai,"Red Lentils - 1 cup, Bamboo Shoots - ½ cup, Garlic - 5 cloves, Ginger - 1 inch, Mustard Oil - 2 tbsp, Salt - to taste","Boil red lentils until soft. Heat mustard oil in a pan, add chopped garlic and ginger. Sauté until fragrant. Add bamboo shoots and stir well. Combine with the boiled lentils and let it simmer for 10 minutes. Adjust salt and serve.",
"Rice, Pumpkin Flowers, Mustard Oil, Salt, Turmeric, Green Chilies",Tungtap,"Rice - 1 cup, Pumpkin Flowers - 10, Mustard Oil - 2 tbsp, Salt - to taste, Turmeric - ½ tsp, Green Chilies - 3","Clean the pumpkin flowers, removing the pistils. Heat mustard oil, add turmeric and green chilies. Stir in the pumpkin flowers and cook until soft. Serve with steamed rice.",
"Banana Flower, Rice Flour, Salt, Turmeric, Green Chilies, Mustard Oil",Ka Lamet,"Banana Flower - 1, Rice Flour - ½ cup, Salt - to taste, Turmeric - ½ tsp, Green Chilies - 3, Mustard Oil - 2 tbsp","Clean and chop the banana flower. Heat mustard oil in a pan, add green chilies and turmeric. Stir in the banana flower. Cook until tender, then sprinkle rice flour to thicken. Mix well and cook for another 5 minutes. Serve with rice.",
"Wheat Flour, Cabbage, Carrot, Onion, Garlic, Ginger, Soy Sauce, Salt, Oil",Momos,"Wheat Flour - 2 cups, Cabbage - 1 cup (grated), Carrot - 1 cup (grated), Onion - 1 (chopped), Garlic - 4 cloves (minced), Ginger - 1 inch (grated), Soy Sauce - 2 tbsp, Salt - to taste, Oil - 1 tbsp","Mix wheat flour with water to form a smooth dough. For the filling, mix grated cabbage, carrot, onion, garlic, ginger, soy sauce, and salt. Roll out small circles of dough, place the filling in the center, and fold the edges. Steam for 15 minutes. Serve with chutney.",
"Rice, Black Lentils, Fermented Bamboo Shoots, Turmeric, Mustard Oil, Salt",Gundruk Soup,"Rice - 1 cup, Black Lentils - ½ cup, Fermented Bamboo Shoots - ½ cup, Turmeric - ½ tsp, Mustard Oil - 2 tbsp, Salt - to taste","Boil black lentils with turmeric and salt. Heat mustard oil, sauté bamboo shoots until aromatic. Add to the lentils and cook until the flavors blend. Serve with rice.",
"Buckwheat Flour, Water, Salt, Ghee",Phapar Roti,"Buckwheat Flour - 2 cups, Water - 1 cup, Salt - to taste, Ghee - 1 tbsp","Mix buckwheat flour with water and salt to form a batter. Heat a pan, grease with ghee, and pour the batter to form thin pancakes. Cook on both sides until golden brown. Serve with chutney or curry.",
"Pork, Fermented Soybeans, Green Chilies, Garlic, Ginger, Salt, Mustard Oil",Sikkimese Pork Curry,"Pork - 500g, Fermented Soybeans - 3 tbsp, Green Chilies - 4, Garlic - 6 cloves, Ginger - 1 inch, Salt - to taste, Mustard Oil - 3 tbsp","Heat mustard oil, add garlic, ginger, and green chilies. Sauté until fragrant. Add pork and cook until browned. Add fermented soybeans and water. Simmer until pork is tender. Serve hot.",
"Rice, Chicken, Ginger, Garlic, Onion, Tomato, Cumin, Coriander, Salt, Oil",Chicken Thukpa,"Rice - 1 cup, Chicken - 250g, Ginger - 1 inch, Garlic - 4 cloves, Onion - 1, Tomato - 2, Cumin - 1 tsp, Coriander - 1 tsp, Salt - to taste, Oil - 2 tbsp","Boil chicken and shred it. Heat oil, sauté garlic, ginger, and onion. Add tomatoes, cumin, and coriander. Cook until tomatoes are soft. Add the shredded chicken and water. Simmer and serve with rice.",
"Rice, Spinach, Tomatoes, Garlic, Ginger, Salt, Mustard Oil",Kinema Curry,"Rice - 1 cup, Spinach - 1 bunch, Tomatoes - 2, Garlic - 5 cloves, Ginger - 1 inch, Salt - to taste, Mustard Oil - 2 tbsp","Heat mustard oil, add garlic and ginger. Add chopped tomatoes and cook until soft. Add kinema (fermented soybean) and stir. Cook for 10 minutes. Add spinach and cook until wilted. Serve with rice.",
"Rice, Green Vegetables, Fermented Bamboo Shoots, Salt, Mustard Oil",Sinki Soup,"Rice - 1 cup, Green Vegetables - 1 bunch, Fermented Bamboo Shoots - ½ cup, Salt - to taste, Mustard Oil - 2 tbsp",Heat mustard oil in a pot. Add bamboo shoots and fry until fragrant. Add chopped green vegetables and stir. Pour water and simmer for 20 minutes. Serve hot with rice.,
"Flour, Butter, Baking Powder, Sugar, Water, Salt",Sel Roti,"Flour - 2 cups, Butter - 2 tbsp, Baking Powder - 1 tsp, Sugar - ½ cup, Water - 1 cup, Salt - a pinch","Mix flour, sugar, salt, and baking powder. Add water gradually to form a batter. Heat oil in a deep pan. Pour batter in a circular motion to form ring shapes. Fry until golden brown. Serve as a snack.",
"Rice Flour, Jaggery, Coconut, Cardamom Powder, Water",Kharang,"Rice Flour - 1 cup, Jaggery - ½ cup, Coconut - ½ cup (grated), Cardamom Powder - ½ tsp, Water - 1 cup","Boil water and dissolve jaggery. Add rice flour slowly, stirring to avoid lumps. Add grated coconut and cardamom powder. Cook until thick. Serve as a dessert.",
"Rice, Mutton, Garlic, Ginger, Bay Leaf, Cumin, Cloves, Salt, Ghee",Sha Phaley,"Rice - 1 cup, Mutton - 300g, Garlic - 5 cloves, Ginger - 1 inch, Bay Leaf - 2, Cumin - 1 tsp, Cloves - 3, Salt - to taste, Ghee - 2 tbsp","Heat ghee in a pan. Add bay leaf, cumin, and cloves. Sauté garlic and ginger. Add mutton and cook until tender. Serve with rice.",
"Rice Flour, Fermented Rice, Water, Salt",Chhurpi Soup,"Rice Flour - 1 cup, Fermented Rice - ½ cup, Water - 2 cups, Salt - to taste","Boil water, add fermented rice and salt. Slowly add rice flour while stirring. Simmer until the soup thickens. Serve hot.",
"Bamboo Shoots, Pork, Ginger, Garlic, Mustard Oil, Salt",Bamboo Pork Curry,"Bamboo Shoots - ½ cup, Pork - 500g, Ginger - 1 inch, Garlic - 5 cloves, Mustard Oil - 3 tbsp, Salt - to taste","vHeat mustard oil, sauté garlic and ginger. Add pork and cook until browned. Add bamboo shoots and water. Simmer until the pork is tender. Adjust salt and serve.",
"Rice, Lentils, Turmeric, Cumin, Garlic, Salt, Mustard Oil",Dal Bhat,"Rice - 1 cup, Lentils - ½ cup, Turmeric - ½ tsp, Cumin - 1 tsp, Garlic - 4 cloves, Salt - to taste, Mustard Oil - 1 tbsp","Boil lentils with turmeric and salt. In a separate pan, heat mustard oil, add garlic and cumin seeds. Pour this tempering over the cooked lentils. Serve with steamed rice for a balanced meal.",
"Spinach, Mustard Greens, Garlic, Ginger, Salt, Mustard Oil",Saag,"Spinach - 1 bunch, Mustard Greens - 1 bunch, Garlic - 4 cloves, Ginger - 1 inch, Salt - to taste, Mustard Oil - 1 tbsp","Heat mustard oil, add garlic and ginger. Sauté for a minute, then add the chopped greens. Cook on low heat until tender. Serve as a side dish.",
"Buckwheat Flour, Water, Salt, Ghee",Phapar Ko Roti,"Buckwheat Flour - 1 cup, Water - ½ cup, Salt - to taste, Ghee - 1 tbsp",Mix buckwheat flour with water and salt to form a dough. Flatten into round shapes and cook on a griddle with ghee until golden brown. Serve with a light vegetable curry.,
"Rice, Fermented Bamboo Shoots, Tomatoes, Salt, Mustard Oil",Gundruk Curry,"Rice - 1 cup, Fermented Bamboo Shoots - ½ cup, Tomatoes - 2, Salt - to taste, Mustard Oil - 1 tbsp","Heat mustard oil, add chopped tomatoes and cook until soft. Add bamboo shoots, salt, and water. Simmer until the bamboo is tender. Serve with rice.",
"Millet Flour, Water, Buttermilk, Salt",Tongba (Millet Drink),"Millet Flour - 1 cup, Water - 3 cups, Buttermilk - ½ cup, Salt - to taste","Soak millet flour overnight. Boil water and add the millet flour, stirring to avoid lumps. Add buttermilk and salt for a refreshing and nourishing drink.",
"Rice, Soybeans, Garlic, Ginger, Salt, Mustard Oil",Kinema Curry,"Rice - 1 cup, Soybeans - ½ cup (fermented), Garlic - 4 cloves, Ginger - 1 inch, Salt - to taste, Mustard Oil - 1 tbsp","Heat mustard oil, add garlic and ginger. Add soybeans and water, cooking until tender. Serve as a protein-rich curry with rice.",
"Rice, Vegetables (Spinach, Carrot, Beans), Ginger, Garlic, Salt, Oil",Vegetable Thukpa,"Rice - 1 cup, Spinach - 1 bunch, Carrot - 1, Beans - 10, Ginger - 1 inch, Garlic - 4 cloves, Salt - to taste, Oil - 1 tbsp","Boil rice noodles. Heat oil, sauté garlic and ginger, add chopped vegetables, and cook until tender. Add water and noodles. Simmer for a wholesome soup.",
"Rice, Lentils, Mustard Oil, Salt, Turmeric, Garlic, Ginger",Thenthuk,"Rice - 1 cup, Lentils - ½ cup, Mustard Oil - 1 tbsp, Salt - to taste, Turmeric - ½ tsp, Garlic - 4 cloves, Ginger - 1 inch","Cook lentils with turmeric and salt. Heat mustard oil, add garlic and ginger. Mix with the cooked lentils. Serve with rice for a balanced, fiber-rich meal.",
"Rice Flour, Yogurt, Salt, Water",Chhurpi Soup,"Rice Flour - 1 cup, Yogurt - ½ cup, Salt - to taste, Water - 2 cups","Boil water and add rice flour, stirring continuously. Add yogurt and salt. Cook until thickened. This fermented dairy dish is great for gut health.",
"Rice, Black Lentils, Garlic, Ginger, Mustard Oil, Salt",Masoor Dal Curry,"Rice - 1 cup, Black Lentils - ½ cup, Garlic - 5 cloves, Ginger - 1 inch, Mustard Oil - 1 tbsp, Salt - to taste","Boil lentils with salt and turmeric. In a separate pan, heat mustard oil, sauté garlic and ginger. Mix the lentils and serve with rice.",
"Wheat Flour, Black Gram Lentils, Ginger, Garlic, Cumin, Salt, Mustard Oil",Siddu,"Wheat Flour, Black Gram Lentils, Ginger, Garlic, Cumin, Salt, Mustard Oil","Soak the black gram lentils overnight, then grind them into a coarse paste. Mix the paste with chopped garlic, grated ginger, cumin seeds, and salt. Knead wheat flour with water and a pinch of salt to form a soft dough. Roll out small discs, fill them with the lentil mixture, and seal the edges. Steam the stuffed discs for 20-25 minutes. Drizzle with mustard oil and serve hot.",
"Chickpeas, Buttermilk, Mustard Seeds, Turmeric, Green Chilies, Salt",Chana Madra,"Chickpeas, Buttermilk, Mustard Seeds, Turmeric, Green Chilies, Salt","Soak chickpeas overnight and cook them until tender. Whisk buttermilk with turmeric and salt. Heat mustard oil in a pan, add mustard seeds, and let them crackle. Add green chilies and sauté. Slowly pour the buttermilk into the pan, stirring continuously. Add the cooked chickpeas and let it simmer until thick. Serve with rice.",
"Wheat Flour, Spinach, Green Chilies, Salt, Ghee",Babru,"Wheat Flour, Spinach, Green Chilies, Salt, Ghee","Finely chop the spinach and mix it with salt and green chilies to make a filling. Knead wheat flour with water into a firm dough. Divide the dough into balls, roll into discs, and fill with the spinach mixture. Fold and seal the edges. Flatten and cook on a griddle with ghee until golden brown. Serve with curd or pickle.",
"Black Lentils, Wheat Flour, Yogurt, Garlic, Ginger, Salt, Mustard Oil",Kullu Trout Fish,"Trout Fish, Black Lentils, Wheat Flour, Yogurt, Garlic, Ginger, Salt, Mustard Oil","Clean the trout fish and marinate it with yogurt, garlic paste, ginger, and salt. Heat mustard oil in a pan and shallow fry the fish until golden. Boil black lentils and mash slightly. Serve the fried fish with the lentils and a side of steamed rice.",
"Wheat Flour, Jaggery, Ghee",Aktori,"Wheat Flour, Jaggery, Ghee",Mix wheat flour and water to form a smooth batter. Add melted jaggery to the batter. Heat ghee in a pan and pour in the batter. Cook until both sides are golden brown. Serve as a dessert or snack.,
"Rice, Yogurt, Cumin, Mustard Seeds, Curry Leaves, Salt",Meetha Bhaat,"Rice, Yogurt, Cumin, Mustard Seeds, Curry Leaves, Salt","Cook rice and let it cool. Whisk yogurt and add it to the rice. Heat oil in a small pan, add mustard seeds, cumin, and curry leaves for tempering. Pour the tempering over the rice and mix well. Serve chilled or at room temperature.",
"Wheat Flour, Spinach, Ginger, Garlic, Mustard Oil, Salt",Chilta,"Wheat Flour, Spinach, Ginger, Garlic, Mustard Oil, Salt","Prepare a thin batter using wheat flour, water, and salt. Add finely chopped spinach, ginger, and garlic to the batter. Heat a griddle, pour the batter to form a thin pancake, and cook on both sides until crispy. Serve with chutney or yogurt.",
"Rice Flour, Water, Salt, Cumin Seeds",Chana Samosa,"Rice Flour, Water, Salt, Cumin Seeds","Boil water with a pinch of salt. Add rice flour and stir to form a smooth dough. Let it cool. Divide the dough into small balls and roll them into discs. Prepare a spicy chana filling using boiled chickpeas, spices, and onions. Place the filling in the center, fold into a triangular shape, and seal. Deep fry until golden brown. Serve with chutney.",
"Rice, Curd, Green Chilies, Mustard Seeds, Curry Leaves, Turmeric",Bore Baasi,"Cooked Rice, Curd, Green Chilies, Mustard Seeds, Curry Leaves, Turmeric","Soak cooked rice in water overnight. Drain the water the next morning and mix the fermented rice with curd. Heat oil in a pan, add mustard seeds, green chilies, curry leaves, and turmeric. Pour the tempering over the rice and serve.",
"Green Gram, Onions, Coriander, Salt, Oil",Cheela,"Green Gram, Onions, Coriander, Salt, Oil","Soak green gram and grind into a smooth batter. Add chopped onions, coriander, and salt. Heat a tawa, pour a ladle of batter, and spread like a pancake. Cook both sides until golden. Serve with chutney or curd.",
"Rice Flour, Salt, Cumin Seeds, Oil",Angakar Roti,"Rice Flour, Salt, Cumin Seeds, Oil","Knead rice flour with salt, cumin seeds, and water to form a dough. Roll into thick discs and roast on a tawa until golden brown. Serve with ghee or chutney.",
"Rice, Black Gram Lentils, Salt, Oil",Bafauri,"Rice, Black Gram Lentils, Salt, Oil","Soak black gram lentils, grind into a thick paste, and mix with salt and chopped onions. Shape into small balls and steam until cooked. Serve with chutney.",
"Rice, Black Gram Lentils, Turmeric, Mustard Seeds, Green Chilies, Salt, Oil",Khada Bhaji,"Rice, Black Gram Lentils, Turmeric, Mustard Seeds, Green Chilies, Salt, Oil","Wash and chop leafy greens like amaranth or spinach. Heat oil in a pan, add mustard seeds, green chilies, and lentils. Add chopped greens and turmeric. Stir-fry until tender. Season with salt and serve with rice.",
"Rice, Tamarind, Jaggery, Mustard Seeds, Curry Leaves, Dry Red Chilies",Aamat,"Rice, Tamarind, Jaggery, Mustard Seeds, Curry Leaves, Dry Red Chilies","Soak tamarind and extract its juice. Heat oil, add mustard seeds, dry red chilies, and curry leaves. Pour in tamarind juice, add jaggery, and bring to a boil. Simmer until thickened. Serve with steamed rice.",
"Rice, Jaggery, Cardamom, Ghee",khurmi,"Rice, Jaggery, Cardamom, Ghee",Grind soaked rice into a paste. Melt jaggery and mix it with the rice paste. Add cardamom powder. Heat ghee in a pan and cook the mixture until golden. Shape into small squares and serve.,
"Rice Flour, Salt, Water, Cumin Seeds",Thethri,"Rice Flour, Salt, Water, Cumin Seeds","Mix rice flour with water, salt, and cumin seeds. Knead into a stiff dough. Roll into thin strips and deep fry until crispy. Serve as a crunchy snack.",
"Rice Flour, Curd, Green Chilies, Coriander, Mustard Seeds, Curry Leaves",Pidiya,"Rice Flour, Curd, Green Chilies, Coriander, Mustard Seeds, Curry Leaves","Mix rice flour with water to form a dough. Shape into small balls and steam them. Heat oil, add mustard seeds, curry leaves, and green chilies for tempering. Pour curd over the steamed balls and garnish with coriander. Serve chilled.",
